,DATE,MESSAGE
0,11/9/2022,"𝗦𝘁𝗮𝗰𝗸𝗲𝗱 𝗟𝗶𝘃𝗶𝗻𝗴 𝗜𝗻

in an HDB home, and that there are only about 284 HDB landed units, that makes this week’s home a really really rare one. Homeowners Grace and Wei Xiang (together with their dogs Truffle & Chanko) always knew that they wanted something different, and when they found this landed HDB home at Jalan Bahagia they knew that this was it. It’s a 2-storey landed unit, with about 1,000 square feet of built up space, and 1,400 square feet of land. 

They created a Japanese Zen garden in the front of their home by levelling out the whole porch, and it’s a really tranquil spot to sit and have a cup of tea. It’s certainly a really relaxing sight to see everything you get home.

𝗪𝗮𝘁𝗰𝗵 𝗡𝗼𝘄 ➡️ https://youtu.be/DTj3X10DSIg"
1,11/9/2022,"𝗣𝗿𝗼𝗽𝗲𝗿𝘁𝘆 𝗣𝗶𝗰𝗸𝘀

If you're in the market for a 2-bedroom new launch unit, you're probably familiar with the kitchen running along the wall in an open fashion. Considering the limited amount of space, those looking for enclosed kitchen options in such units may find it a rarity. In this article, we look at 6 such 2-bedroom new launch units that feature enclosed kitchens as part of their offering.

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/6-hard-to-find-new-launch-2-bedders-with-easily-enclosed-kitchens/"
2,10/9/2022,"𝗥𝗲𝘀𝗮𝗹𝗲 𝗛𝗗𝗕

Many Singaporeans think that buying the biggest HDB flat they can afford to be a smart decision: first, for future family planning and secondly, it's seen to make bigger capital gains later on. However, buying a smaller 3-room flat also has its benefits. We look at 7 reasons why this flat type could be an underrated choice.

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/buy-3-room-flat-now-own-2-properties-later-7-reasons-why-these-flats-are-an-underrated-choice/"
3,9/9/2022,"𝗔𝗱𝘃𝗶𝗰𝗲

A couple earning $300K per annum who owned a 5-room HDB reached out to us with their dilemma: should they pay the ABSD and purchase a 2nd property for investment? Read on to find out our thoughts about it!

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/we-make-300k-per-annum-should-we-pay-absd-for-a-2nd-property-for-investment-when-we-own-a-5-room-hdb/"
4,9/9/2022,"𝗣𝗿𝗼𝗽𝗲𝗿𝘁𝘆 𝗣𝗶𝗰𝗸𝘀

A couple of weeks back, we shared about old, freehold shopping malls with surprising residential components. This time around, we've hunted for some of the more affordable ones that you can find!

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/340000-for-an-apartment-here-are-6-surprisingly-affordable-homes-you-can-find-in-old-shopping-malls/"
5,8/9/2022,"𝗦𝘁𝗮𝗰𝗸𝗲𝗱 𝗜𝗻-𝗛𝗼𝘂𝘀𝗲

This week, we tour a unique single-floor penthouse in Mt Sinai. It’s got the advantage of a quiet location, and this penthouse at Leighwoods comes in at a huge 4,919 square feet. There are 4 large bedrooms here, and it’s also a great option for entertaining as you have multiple dining places besides the main dining room. Another good thing is that the floor plate is split in half (like a dumbbell layout) so there is more privacy for the bedrooms as well.

𝗪𝗮𝘁𝗰𝗵 𝗡𝗼𝘄 ➡️ https://youtu.be/z61IEua1eP4"
6,8/9/2022,"𝗨𝗻𝗶𝘁𝘀 𝗢𝗳 𝗧𝗵𝗲 𝗪𝗲𝗲𝗸

This week, we've shortlisted something a little different from our usual weekly curation - Penthouses and Jumbo units at HDBs, including a loft unit in Punggol!

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/5-unique-hdbs-above-1560-sqft-special-penthouse-jumbo-units/"
7,8/9/2022,"𝗜𝗻𝘁𝗲𝗿𝗶𝗼𝗿

In this article, we tour an old 1978 HDB transformation into a minimalist and spacious home. Shrms and ZH, a young couple who bought a 44-year-old resale HDB flat, share their design process in transforming their space into a clutter-free and expansive home with insightful tips on having a realistic goal in mind for their home renovation.

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/tour-an-old-1978-hdb-transformation-how-a-couple-created-a-minimalist-expansive-home/"
8,7/9/2022,"𝗖𝗼𝗺𝗺𝗲𝗻𝘁𝗮𝗿𝘆

Record high prices may be the talk of the town, but you may have also heard of the growing disparity between prices of HDBs and private properties, fuelling sentiments that private properties are increasingly out of reach to many aspiring HDB upgraders. In this article, we look at the data to find out more.

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/how-bad-is-the-price-gap-between-resale-hdb-flats-and-private-condos-in-2022/"
9,7/9/2022,"𝗜𝗻𝘁𝗲𝗿𝗶𝗼𝗿

It may be a stressful period when you are trying to find the best home, the ideal contractor, and working within a budget. In this article, we share six tips on how you can perform due diligence to find a suitable ID/contractor for you.

𝗥𝗲𝗮𝗱 𝗡𝗼𝘄 ➡️ https://stackedhomes.com/editorial/i-used-to-work-in-the-interior-industry-here-are-my-6-insider-tips-to-help-you-find-the-right-id/"
